Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1975,1975,kg/ha,291.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1976,1976,ha,1307,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1976,1976,kg/ha,267.8,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1977,1977,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1977,1977,kg/ha,307.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1978,1978,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1978,1978,kg/ha,307.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1979,1979,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1979,1979,kg/ha,307.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1980,1980,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1980,1980,kg/ha,307.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1981,1981,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1981,1981,kg/ha,307.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1982,1982,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1982,1982,kg/ha,307.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1983,1983,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1983,1983,kg/ha,307.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1984,1984,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1984,1984,kg/ha,307.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1985,1985,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1985,1985,kg/ha,384.6,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1986,1986,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1986,1986,kg/ha,384.6,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1987,1987,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1987,1987,kg/ha,384.6,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1988,1988,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1988,1988,kg/ha,384.6,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1989,1989,ha,1000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1989,1989,kg/ha,300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1990,1990,ha,260,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1990,1990,kg/ha,384.6,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1991,1991,ha,1413,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1991,1991,kg/ha,353.9,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1992,1992,ha,1514,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1992,1992,kg/ha,333.2,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1993,1993,ha,1500,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1993,1993,kg/ha,325.4,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1994,1994,ha,1294,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1994,1994,kg/ha,318.3,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1995,1995,ha,1284,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1995,1995,kg/ha,311.5,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1996,1996,ha,1639,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1996,1996,kg/ha,305,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1997,1997,ha,1354,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1997,1997,kg/ha,298.3,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1998,1998,ha,1100,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1998,1998,kg/ha,272.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1999,1999,ha,769,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1999,1999,kg/ha,260.1,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2000,2000,ha,800,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2000,2000,kg/ha,277.3,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2001,2001,ha,1159,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2001,2001,kg/ha,274.5,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2002,2002,ha,1237,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2002,2002,kg/ha,272.1,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2003,2003,ha,1273,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2003,2003,kg/ha,269.8,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2004,2004,ha,1205,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2004,2004,kg/ha,268.8,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2005,2005,ha,1342,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2005,2005,kg/ha,267.9,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2006,2006,ha,1300,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2006,2006,kg/ha,253.8,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2007,2007,ha,1792,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2007,2007,kg/ha,251.1,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2008,2008,ha,1637,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2008,2008,kg/ha,250.5,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2009,2009,ha,2847,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2009,2009,kg/ha,252.9,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2010,2010,ha,2094,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2010,2010,kg/ha,320.4,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2011,2011,ha,1478,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2011,2011,kg/ha,320.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2012,2012,ha,1215,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2012,2012,kg/ha,332,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2013,2013,ha,701,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2013,2013,kg/ha,399.4,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2014,2014,ha,909,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2014,2014,kg/ha,350.1,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2015,2015,ha,859,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2015,2015,kg/ha,354.2,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2016,2016,ha,862,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2016,2016,kg/ha,354.3,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2017,2017,ha,855,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2017,2017,kg/ha,356.7,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2018,2018,ha,859,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2018,2018,kg/ha,355.1,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2019,2019,ha,822,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2019,2019,kg/ha,354.6,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2020,2020,ha,845,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2020,2020,kg/ha,355.5,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2021,2021,ha,842,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2021,2021,kg/ha,355.1,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2022,2022,ha,837,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2022,2022,kg/ha,355,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,2023,2023,ha,841,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,2023,2023,kg/ha,355.2,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1961,1961,ha,5000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1961,1961,kg/ha,280,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1962,1962,ha,5000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1962,1962,kg/ha,280,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1963,1963,ha,5000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1963,1963,kg/ha,320,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1964,1964,ha,8000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1964,1964,kg/ha,200,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1965,1965,ha,5700,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1965,1965,kg/ha,229.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1966,1966,ha,6300,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1966,1966,kg/ha,333.7,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1967,1967,ha,7900,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1967,1967,kg/ha,258.2,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1968,1968,ha,9323,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1968,1968,kg/ha,254.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1969,1969,ha,12183,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1969,1969,kg/ha,257,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1970,1970,ha,16346,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1970,1970,kg/ha,226.1,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1971,1971,ha,17000,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1971,1971,kg/ha,235.3,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1972,1972,ha,10000,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1972,1972,kg/ha,200,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1973,1973,ha,14000,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1973,1973,kg/ha,285.7,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1974,1974,ha,19700,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1974,1974,kg/ha,380.7,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1975,1975,ha,28063,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1975,1975,kg/ha,476.9,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1976,1976,ha,29656,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1976,1976,kg/ha,291.7,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1977,1977,ha,14642,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1977,1977,kg/ha,1425,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1978,1978,ha,11066,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1978,1978,kg/ha,974.4,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1979,1979,ha,10151,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1979,1979,kg/ha,822.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1980,1980,ha,6919,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1980,1980,kg/ha,518.1,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1981,1981,ha,7374,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1981,1981,kg/ha,476.9,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1982,1982,ha,13552,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1982,1982,kg/ha,361.4,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1983,1983,ha,4691,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1983,1983,kg/ha,346.2,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1984,1984,ha,8202,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1984,1984,kg/ha,163.1,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1985,1985,ha,7280,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1985,1985,kg/ha,340.4,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1986,1986,ha,16943,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1986,1986,kg/ha,223,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1987,1987,ha,12878,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1987,1987,kg/ha,259.7,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1988,1988,ha,23323,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1988,1988,kg/ha,318,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1989,1989,ha,17911,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1989,1989,kg/ha,541.9,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1990,1990,ha,4476,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1990,1990,kg/ha,1884.9,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1991,1991,ha,7345,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1991,1991,kg/ha,335.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1992,1992,ha,4466,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1992,1992,kg/ha,291.8,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1993,1993,ha,4600,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1993,1993,kg/ha,347.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1994,1994,ha,8366,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1994,1994,kg/ha,321.3,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1995,1995,ha,3635,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1995,1995,kg/ha,1238,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1996,1996,ha,10014,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1996,1996,kg/ha,659.1,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1997,1997,ha,13696,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1997,1997,kg/ha,1039.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1998,1998,ha,7500,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1998,1998,kg/ha,1116.7,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",1999,1999,ha,11640,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",1999,1999,kg/ha,796.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2000,2000,ha,13426,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2000,2000,kg/ha,799.9,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2001,2001,ha,12368,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2001,2001,kg/ha,635.5,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2002,2002,ha,7241,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2002,2002,kg/ha,602.1,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2003,2003,ha,11169,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2003,2003,kg/ha,331.3,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2004,2004,ha,8570,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2004,2004,kg/ha,563.7,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2005,2005,ha,8785,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2005,2005,kg/ha,280.5,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2006,2006,ha,27743,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2006,2006,kg/ha,155.3,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2007,2007,ha,23038,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2007,2007,kg/ha,266.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2008,2008,ha,12243,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2008,2008,kg/ha,260.1,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2009,2009,ha,7973,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2009,2009,kg/ha,433,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2010,2010,ha,26887,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2010,2010,kg/ha,331,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2011,2011,ha,17649,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2011,2011,kg/ha,402.4,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2012,2012,ha,15079,I,Imputed value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2012,2012,kg/ha,331.6,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2013,2013,ha,18855,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2013,2013,kg/ha,178,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,"Beans, dry",2014,2014,ha,18065,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,"Beans, dry",2014,2014,kg/ha,132.9,A,Official figure,
